modelId,downloads,likes,license,tags,keywords_found,readme_length,url,match_strength
deepset/roberta-base-squad2,727434,927,cc-by-4.0,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'safetensors', 'roberta', 'question-answering', 'en', 'dataset:squad_v2', 'base_model:FacebookAI/roberta-base', 'base_model:finetune:FacebookAI/roberta-base', 'license:cc-by-4.0', 'model-index', 'endpoints_compatible', 'region:us', 'deploy:azure']",['adversarial'],3846,https://huggingface.co/deepset/roberta-base-squad2,strong
deepset/tinyroberta-squad2,40470,112,cc-by-4.0,"['transformers', 'pytorch', 'safetensors', 'roberta', 'question-answering', 'en', 'dataset:squad_v2', 'arxiv:1909.10351', 'license:cc-by-4.0', 'model-index', 'endpoints_compatible', 'region:us', 'deploy:azure']",['adversarial'],3471,https://huggingface.co/deepset/tinyroberta-squad2,strong
PocketDoc/Dans-PersonalityEngine-V1.3.0-24b,26326,113,apache-2.0,"['transformers', 'safetensors', 'mistral', 'text-generation', 'general-purpose', 'roleplay', 'storywriting', 'chemistry', 'biology', 'code', 'climate', 'axolotl', 'text-generation-inference', 'finetune', 'legal', 'medical', 'finance', 'conversational', 'en', 'ar', 'de', 'fr', 'es', 'hi', 'pt', 'ja', 'ko', 'dataset:PocketDoc/Dans-Prosemaxx-RP', 'dataset:PocketDoc/Dans-Personamaxx-Logs-2', 'dataset:PocketDoc/Dans-Personamaxx-VN', 'dataset:PocketDoc/Dans-Kinomaxx-VanillaBackrooms', 'dataset:PocketDoc/Dans-Prosemaxx-Gutenberg', 'dataset:PocketDoc/Dans-Prosemaxx-Cowriter-3-XL', 'dataset:PocketDoc/Dans-Prosemaxx-Adventure', 'dataset:PocketDoc/Dans-Failuremaxx-Adventure-3', 'dataset:PocketDoc/Dans-Prosemaxx-InstructWriter-ZeroShot-2', 'dataset:PocketDoc/Dans-Prosemaxx-InstructWriter-ZeroShot-3', 'dataset:PocketDoc/Dans-Prosemaxx-InstructWriter-Continue-2', 'dataset:PocketDoc/Dans-Prosemaxx-Instructwriter-Long', 'dataset:PocketDoc/Dans-Prosemaxx-RepRemover-1', 'dataset:PocketDoc/Dans-MemoryCore-CoreCurriculum-Small', 'dataset:AquaV/US-Army-Survival-Sharegpt', 'dataset:AquaV/Multi-Environment-Operations-Sharegpt', 'dataset:AquaV/Resistance-Sharegpt', 'dataset:AquaV/Interrogation-Sharegpt', 'dataset:AquaV/Chemical-Biological-Safety-Applications-Sharegpt', 'dataset:AquaV/Energetic-Materials-Sharegpt', 'dataset:PocketDoc/Dans-Mathmaxx', 'dataset:PJMixers/Math-Multiturn-1K-ShareGPT', 'dataset:PocketDoc/Dans-Taskmaxx', 'dataset:PocketDoc/Dans-Taskmaxx-DataPrepper', 'dataset:PocketDoc/Dans-Taskmaxx-ConcurrentQA-Reworked', 'dataset:PocketDoc/Dans-Taskmaxx-TableGPT', 'dataset:PocketDoc/Dans-Taskmaxx-SciRIFF', 'dataset:PocketDoc/Dans-Taskmaxx-Edit', 'dataset:PocketDoc/Dans-Toolmaxx-Agent', 'dataset:PocketDoc/Dans-Toolmaxx-ShellCommands', 'dataset:PocketDoc/Dans-Toolmaxx-Functions-Toolbench', 'dataset:PocketDoc/Dans-Toolmaxx-Functions-ToolACE', 'dataset:PocketDoc/Dans-Toolmaxx-Functions-apigen-subset', 'dataset:PocketDoc/Dans-Assistantmaxx-OpenAssistant2', 'dataset:PocketDoc/Dans-Assistantmaxx-Opus-Merge-2', 'dataset:PocketDoc/Dans-Assistantmaxx-sonnetorca-subset', 'dataset:PocketDoc/Dans-Assistantmaxx-sonnetorca-subset-2', 'dataset:PocketDoc/Dans-Assistantmaxx-Synthia', 'dataset:PocketDoc/Dans-Assistantmaxx-ASL', 'dataset:PocketDoc/Dans-Assistantmaxx-PersonaLLM-Opus', 'dataset:PocketDoc/Dans-Assistantmaxx-LongAlign', 'dataset:PocketDoc/Dans-Assistantmaxx-OpenLeecher-Instruct', 'dataset:PocketDoc/Dans-Assistantmaxx-Tulu3-IF', 'dataset:PocketDoc/Dans-Systemmaxx', 'dataset:PocketDoc/Dans-Logicmaxx-SAT-AP', 'dataset:PJMixers/grimulkan_theory-of-mind-ShareGPT', 'dataset:PJMixers/grimulkan_physical-reasoning-ShareGPT', 'dataset:PocketDoc/Dans-Reasoningmaxx-NaturalReasoning', 'dataset:PocketDoc/Dans-Reasoningmaxx-WebInstruct', 'dataset:PocketDoc/Dans-Reasoningmaxx-GeneralReasoning', 'dataset:PocketDoc/Dans-Assistantmaxx-ClosedInstruct', 'base_model:mistralai/Mistral-Small-3.1-24B-Base-2503', 'base_model:finetune:mistralai/Mistral-Small-3.1-24B-Base-2503', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",['safety'],2569,https://huggingface.co/PocketDoc/Dans-PersonalityEngine-V1.3.0-24b,strong
deepset/roberta-base-squad2-distilled,25051,15,mit,"['transformers', 'pytorch', 'safetensors', 'roberta', 'question-answering', 'exbert', 'en', 'dataset:squad_v2', 'license:mit', 'model-index', 'endpoints_compatible', 'region:us', 'deploy:azure']",['adversarial'],3610,https://huggingface.co/deepset/roberta-base-squad2-distilled,strong
EleutherAI/deep-ignorance-pretraining-stage-unfiltered,22993,0,apache-2.0,"['transformers', 'safetensors', 'gpt_neox', 'text-generation', 'pytorch', 'causal-lm', 'pythia', 'safety', 'unlearning', 'data-filtering', 'interpretability', 'pretraining', 'eleutherai', 'gpt-neox', 'wmdp', 'cbrn', 'tamper-resistance', 'research', 'model-suite', '6.9b', 'circuit-breaking', 'knowledge-filtering', 'open-weight', 'biothreat', 'safety-research', 'model-diffing', 'training-dynamics', 'en', 'dataset:EleutherAI/deep-ignorance-pretraining-mix', 'dataset:EleutherAI/deep-ignorance-annealing-mix', 'arxiv:2508.06601', 'base_model:EleutherAI/deep-ignorance-pretraining-stage-unfiltered', 'base_model:finetune:EleutherAI/deep-ignorance-pretraining-stage-unfiltered', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",['safety'],576,https://huggingface.co/EleutherAI/deep-ignorance-pretraining-stage-unfiltered,strong
protectai/deberta-v3-base-prompt-injection,20280,87,apache-2.0,"['transformers', 'onnx', 'safetensors', 'deberta-v2', 'text-classification', 'prompt-injection', 'injection', 'security', 'generated_from_trainer', 'en', 'dataset:Lakera/gandalf_ignore_instructions', 'dataset:rubend18/ChatGPT-Jailbreak-Prompts', 'dataset:imoxto/prompt_injection_cleaned_dataset-v2', 'dataset:hackaprompt/hackaprompt-dataset', 'dataset:fka/awesome-chatgpt-prompts', 'dataset:teven/prompted_examples', 'dataset:Dahoas/synthetic-hh-rlhf-prompts', 'dataset:Dahoas/hh_prompt_format', 'dataset:MohamedRashad/ChatGPT-prompts', 'dataset:HuggingFaceH4/instruction-dataset', 'dataset:HuggingFaceH4/no_robots', 'dataset:HuggingFaceH4/ultrachat_200k', 'base_model:microsoft/deberta-v3-base', 'base_model:quantized:microsoft/deberta-v3-base', 'doi:10.57967/hf/2739', 'license:apache-2.0', 'co2_eq_emissions', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",['security'],799,https://huggingface.co/protectai/deberta-v3-base-prompt-injection,strong
TheBloke/Mixtral-8x7B-Instruct-v0.1-AWQ,19021,59,apache-2.0,"['transformers', 'safetensors', 'mixtral', 'text-generation', 'conversational', 'fr', 'it', 'de', 'es', 'en', 'base_model:mistralai/Mixtral-8x7B-Instruct-v0.1', 'base_model:quantized:mistralai/Mixtral-8x7B-Instruct-v0.1', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', '4-bit', 'awq', 'region:us', 'deploy:azure']",['safety'],1313,https://huggingface.co/TheBloke/Mixtral-8x7B-Instruct-v0.1-AWQ,strong
jackaduma/SecBERT,9940,54,apache-2.0,"['transformers', 'pytorch', 'safetensors', 'bert', 'fill-mask', 'exbert', 'security', 'cybersecurity', 'cyber security', 'threat hunting', 'threat intelligence', 'en', 'dataset:APTnotes', 'dataset:Stucco-Data', 'dataset:CASIE', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us', 'deploy:azure']",['security'],213,https://huggingface.co/jackaduma/SecBERT,strong
vicgalle/Configurable-Hermes-2-Pro-Llama-3-8B,9781,6,apache-2.0,"['transformers', 'safetensors', 'llama', 'text-generation', 'safety', 'conversational', 'dataset:vicgalle/configurable-system-prompt-multitask', 'arxiv:2404.00495', 'base_model:NousResearch/Hermes-2-Pro-Llama-3-8B', 'base_model:finetune:NousResearch/Hermes-2-Pro-Llama-3-8B', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']","['eval', 'safety']",3018,https://huggingface.co/vicgalle/Configurable-Hermes-2-Pro-Llama-3-8B,strong
 ,9110,20,cc-by-4.0,"['transformers', 'pytorch', 'safetensors', 'deberta-v2', 'question-answering', 'deberta', 'deberta-v3', 'en', 'dataset:squad_v2', 'base_model:microsoft/deberta-v3-base', 'base_model:finetune:microsoft/deberta-v3-base', 'license:cc-by-4.0', 'model-index', 'endpoints_compatible', 'region:us', 'deploy:azure']",['adversarial'],4060,https://huggingface.co/deepset/deberta-v3-base-squad2,strong
eliasalbouzidi/distilbert-nsfw-text-classifier,9066,23,apache-2.0,"['transformers', 'safetensors', 'distilbert', 'text-classification', 'Transformers', ' PyTorch', 'safety', 'innapropriate', 'DiffGuard', 'en', 'dataset:eliasalbouzidi/NSFW-Safe-Dataset', 'arxiv:2412.00064', 'base_model:distilbert/distilbert-base-uncased', 'base_model:finetune:distilbert/distilbert-base-uncased', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",['safety'],964,https://huggingface.co/eliasalbouzidi/distilbert-nsfw-text-classifier,strong
EleutherAI/deep-ignorance-unfiltered,6535,3,apache-2.0,"['transformers', 'safetensors', 'gpt_neox', 'text-generation', 'pytorch', 'causal-lm', 'pythia', 'safety', 'unlearning', 'data-filtering', 'interpretability', 'pretraining', 'eleutherai', 'gpt-neox', 'wmdp', 'cbrn', 'tamper-resistance', 'research', 'model-suite', '6.9b', 'circuit-breaking', 'knowledge-filtering', 'open-weight', 'biothreat', 'safety-research', 'model-diffing', 'training-dynamics', 'en', 'dataset:EleutherAI/deep-ignorance-pretraining-mix', 'dataset:EleutherAI/deep-ignorance-annealing-mix', 'arxiv:2508.06601', 'base_model:EleutherAI/deep-ignorance-pretraining-stage-unfiltered', 'base_model:finetune:EleutherAI/deep-ignorance-pretraining-stage-unfiltered', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",['safety'],576,https://huggingface.co/EleutherAI/deep-ignorance-unfiltered,strong
deepset/roberta-large-squad2,4451,28,cc-by-4.0,"['transformers', 'pytorch', 'jax', 'safetensors', 'roberta', 'question-answering', 'en', 'dataset:squad_v2', 'base_model:FacebookAI/roberta-large', 'base_model:finetune:FacebookAI/roberta-large', 'license:cc-by-4.0', 'model-index', 'endpoints_compatible', 'region:us', 'deploy:azure']",['adversarial'],2979,https://huggingface.co/deepset/roberta-large-squad2,strong
bartowski/PocketDoc_Dans-PersonalityEngine-V1.3.0-24b-GGUF,4329,34,apache-2.0,"['gguf', 'general-purpose', 'roleplay', 'storywriting', 'chemistry', 'biology', 'code', 'climate', 'axolotl', 'text-generation-inference', 'finetune', 'legal', 'medical', 'finance', 'text-generation', 'en', 'ar', 'de', 'fr', 'es', 'hi', 'pt', 'ja', 'ko', 'dataset:PocketDoc/Dans-Prosemaxx-RP', 'dataset:PocketDoc/Dans-Personamaxx-Logs-2', 'dataset:PocketDoc/Dans-Personamaxx-VN', 'dataset:PocketDoc/Dans-Kinomaxx-VanillaBackrooms', 'dataset:PocketDoc/Dans-Prosemaxx-Gutenberg', 'dataset:PocketDoc/Dans-Prosemaxx-Cowriter-3-XL', 'dataset:PocketDoc/Dans-Prosemaxx-Adventure', 'dataset:PocketDoc/Dans-Failuremaxx-Adventure-3', 'dataset:PocketDoc/Dans-Prosemaxx-InstructWriter-ZeroShot-2', 'dataset:PocketDoc/Dans-Prosemaxx-InstructWriter-ZeroShot-3', 'dataset:PocketDoc/Dans-Prosemaxx-InstructWriter-Continue-2', 'dataset:PocketDoc/Dans-Prosemaxx-Instructwriter-Long', 'dataset:PocketDoc/Dans-Prosemaxx-RepRemover-1', 'dataset:PocketDoc/Dans-MemoryCore-CoreCurriculum-Small', 'dataset:AquaV/US-Army-Survival-Sharegpt', 'dataset:AquaV/Multi-Environment-Operations-Sharegpt', 'dataset:AquaV/Resistance-Sharegpt', 'dataset:AquaV/Interrogation-Sharegpt', 'dataset:AquaV/Chemical-Biological-Safety-Applications-Sharegpt', 'dataset:AquaV/Energetic-Materials-Sharegpt', 'dataset:PocketDoc/Dans-Mathmaxx', 'dataset:PJMixers/Math-Multiturn-1K-ShareGPT', 'dataset:PocketDoc/Dans-Taskmaxx', 'dataset:PocketDoc/Dans-Taskmaxx-DataPrepper', 'dataset:PocketDoc/Dans-Taskmaxx-ConcurrentQA-Reworked', 'dataset:PocketDoc/Dans-Taskmaxx-TableGPT', 'dataset:PocketDoc/Dans-Taskmaxx-SciRIFF', 'dataset:PocketDoc/Dans-Taskmaxx-Edit', 'dataset:PocketDoc/Dans-Toolmaxx-Agent', 'dataset:PocketDoc/Dans-Toolmaxx-ShellCommands', 'dataset:PocketDoc/Dans-Toolmaxx-Functions-Toolbench', 'dataset:PocketDoc/Dans-Toolmaxx-Functions-ToolACE', 'dataset:PocketDoc/Dans-Toolmaxx-Functions-apigen-subset', 'dataset:PocketDoc/Dans-Assistantmaxx-OpenAssistant2', 'dataset:PocketDoc/Dans-Assistantmaxx-Opus-Merge-2', 'dataset:PocketDoc/Dans-Assistantmaxx-sonnetorca-subset', 'dataset:PocketDoc/Dans-Assistantmaxx-sonnetorca-subset-2', 'dataset:PocketDoc/Dans-Assistantmaxx-Synthia', 'dataset:PocketDoc/Dans-Assistantmaxx-ASL', 'dataset:PocketDoc/Dans-Assistantmaxx-PersonaLLM-Opus', 'dataset:PocketDoc/Dans-Assistantmaxx-LongAlign', 'dataset:PocketDoc/Dans-Assistantmaxx-OpenLeecher-Instruct', 'dataset:PocketDoc/Dans-Assistantmaxx-Tulu3-IF', 'dataset:PocketDoc/Dans-Systemmaxx', 'dataset:PocketDoc/Dans-Logicmaxx-SAT-AP', 'dataset:PJMixers/grimulkan_theory-of-mind-ShareGPT', 'dataset:PJMixers/grimulkan_physical-reasoning-ShareGPT', 'dataset:PocketDoc/Dans-Reasoningmaxx-NaturalReasoning', 'dataset:PocketDoc/Dans-Reasoningmaxx-WebInstruct', 'dataset:PocketDoc/Dans-Reasoningmaxx-GeneralReasoning', 'dataset:PocketDoc/Dans-Assistantmaxx-ClosedInstruct', 'base_model:PocketDoc/Dans-PersonalityEngine-V1.3.0-24b', 'base_model:quantized:PocketDoc/Dans-PersonalityEngine-V1.3.0-24b', 'license:apache-2.0', 'endpoints_compatible', 'region:us', 'conversational']",['safety'],2597,https://huggingface.co/bartowski/PocketDoc_Dans-PersonalityEngine-V1.3.0-24b-GGUF,strong
geoffmunn/Qwen3Guard-Stream-0.6B,2418,0,apache-2.0,"['gguf', 'qwen', 'qwen3guard', 'qwen3guard-stream', 'safety', 'guardrail', 'content-moderation', 'classification', 'streaming', 'tiny-llm', 'llama.cpp', 'text-classification', 'base_model:Qwen/Qwen3Guard-Stream-0.6B', 'base_model:quantized:Qwen/Qwen3Guard-Stream-0.6B', 'license:apache-2.0', 'endpoints_compatible', 'region:us', 'conversational']",['safety'],258,https://huggingface.co/geoffmunn/Qwen3Guard-Stream-0.6B,strong
